               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 157,            0.010967,           0.0047687,                   0,             0.90572,              0.7459,             0.81599,             0.52889,            0.036468,            0.041398,                   0,             0.00532,             0.00532,             0.00532
                 158,            0.011063,           0.0047941,                   0,             0.87066,             0.70801,             0.76732,             0.47978,            0.039291,            0.044501,                   0,             0.00529,             0.00529,             0.00529
                 159,            0.010997,           0.0048507,                   0,             0.90514,              0.7356,              0.8138,             0.52819,             0.03726,            0.041648,                   0,             0.00526,             0.00526,             0.00526
                 160,            0.010928,           0.0047671,                   0,             0.89713,             0.75397,             0.82363,             0.53822,            0.036084,            0.040917,                   0,             0.00523,             0.00523,             0.00523
                 161,            0.010501,           0.0046113,                   0,             0.90219,             0.76187,             0.82602,             0.53982,            0.035984,            0.040736,                   0,              0.0052,              0.0052,              0.0052
                 162,            0.010996,           0.0047443,                   0,             0.89707,             0.75343,             0.81851,              0.5384,            0.036723,            0.041533,                   0,             0.00517,             0.00517,             0.00517
                 163,            0.010959,           0.0047105,                   0,             0.90763,             0.75211,             0.82314,             0.53848,            0.035945,            0.040761,                   0,             0.00514,             0.00514,             0.00514
                 164,            0.010716,           0.0046995,                   0,             0.89262,             0.77423,             0.82942,             0.54349,            0.035851,            0.040664,                   0,             0.00511,             0.00511,             0.00511
                 165,            0.010996,           0.0048298,                   0,             0.90113,             0.75716,             0.82825,             0.54031,            0.036154,            0.041001,                   0,             0.00508,             0.00508,             0.00508
                 166,            0.010888,           0.0047424,                   0,             0.88284,             0.74692,             0.80437,             0.52073,            0.036674,             0.04168,                   0,             0.00505,             0.00505,             0.00505
                 167,            0.010591,             0.00469,                   0,             0.89774,             0.76382,             0.82814,             0.54235,            0.035822,            0.040362,                   0,             0.00502,             0.00502,             0.00502
                 168,            0.010872,            0.004643,                   0,             0.90257,             0.75385,              0.8285,             0.54099,            0.035689,            0.040803,                   0,             0.00499,             0.00499,             0.00499
                 169,            0.010571,           0.0046524,                   0,             0.89866,              0.7489,             0.82186,             0.54244,            0.036096,            0.041281,                   0,             0.00496,             0.00496,             0.00496
