               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 108,             0.02164,            0.018274,           0.0038786,             0.80945,             0.68903,             0.75355,             0.53197,            0.041114,            0.079244,           0.0089234,             0.00679,             0.00679,             0.00679
                 109,            0.020598,            0.017095,           0.0038056,             0.68703,             0.56293,             0.61345,             0.41656,            0.044385,            0.088665,             0.01092,             0.00676,             0.00676,             0.00676
                 110,            0.020734,            0.017013,           0.0037501,             0.79452,             0.65048,             0.70761,             0.49089,            0.042503,            0.082985,           0.0096057,             0.00673,             0.00673,             0.00673
                 111,            0.020799,             0.01771,           0.0037356,             0.77209,             0.65772,             0.71473,             0.49503,            0.042016,            0.082349,           0.0094914,              0.0067,              0.0067,              0.0067
                 112,            0.020312,            0.017045,           0.0037009,             0.69338,             0.54441,             0.58534,             0.39132,             0.04735,            0.088862,            0.012249,             0.00667,             0.00667,             0.00667
                 113,            0.020563,            0.017086,           0.0035872,             0.68303,             0.54103,             0.60309,             0.38412,            0.048823,            0.093066,            0.011737,             0.00664,             0.00664,             0.00664
                 114,            0.020543,            0.017174,           0.0036607,              0.5956,             0.40745,             0.43898,             0.27795,            0.051139,             0.10073,            0.015378,             0.00661,             0.00661,             0.00661
                 115,            0.020156,            0.016664,           0.0035236,             0.73525,             0.57234,             0.62597,             0.42544,            0.043983,            0.088523,            0.010627,             0.00658,             0.00658,             0.00658
                 116,             0.01995,            0.016482,           0.0034926,             0.86655,             0.70818,             0.77811,             0.55171,            0.040076,            0.078149,           0.0083366,             0.00655,             0.00655,             0.00655
                 117,            0.020131,            0.017058,            0.003478,             0.61939,             0.47741,             0.52219,             0.31935,            0.050379,            0.096003,            0.013808,             0.00652,             0.00652,             0.00652
